player_id,player_name_last_first,season,team_abbrev,pitch_hand,num_pitches,four_seam_speed,four_seam_spin,four_seam_pct,sinker_speed,sinker_spin,sinker_pct,cutter_speed,cutter_spin,cutter_pct,slider_speed,slider_spin,slider_pct,change_up_speed,change_up_spin,change_up_pct,curve_speed,curve_spin,curve_pct,splitter_speed,splitter_spin,splitter_pct,plate_appearances
642130,"Taylor, Blake",2020,HOU,L,341,93.7,2281,0.765395894,NULL,NULL,0,NULL,NULL,0,85,2275,0.225806452,88.5,1565,0.008797654,NULL,NULL,0,NULL,NULL,0,87
642152,"Trivino, Lou",2020,OAK,R,370,95.4,2048,0.313513514,95.4,2060,0.281081081,90.5,2341,0.232432432,NULL,NULL,0,86.7,1808,0.067567568,78.3,2365,0.105405405,NULL,NULL,0,93
642203,"Widener, Taylor",2020,ARI,R,364,94.5,2397,0.64010989,94.4,2332,0.010989011,NULL,NULL,0,85.9,2352,0.208791209,86.3,1857,0.14010989,NULL,NULL,0,NULL,NULL,0,88
642207,"Williams, Devin",2020,MIL,R,431,96.5,2386,0.436194896,97.8,2498,0.002320186,86.5,2436,0.034802784,NULL,NULL,0,84.1,2852,0.526682135,NULL,NULL,0,NULL,NULL,0,100
642231,"Yacabonis, Jimmy",2020,SEA,R,52,NULL,NULL,0,92.9,2229,0.653846154,NULL,NULL,0,79,2666,0.096153846,86,1616,0.25,NULL,NULL,0,NULL,NULL,0,13
642232,"Yarbrough, Ryan",2020,TB,L,834,NULL,NULL,0,87.3,1952,0.23381295,82.9,2143,0.35971223,NULL,NULL,0,78.6,1983,0.299760192,70.9,2316,0.106714628,NULL,NULL,0,234
642233,"Yardley, Eric",2020,MIL,R,410,NULL,NULL,0,87.8,2037,0.651219512,NULL,NULL,0,NULL,NULL,0,80.4,1714,0.007317073,73,2838,0.341463415,NULL,NULL,0,97
642397,"Soto, Gregory",2020,DET,L,394,96.6,2384,0.045685279,97.3,2424,0.751269036,NULL,NULL,0,87.7,2396,0.203045685,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,98
642528,"Loaisiga, Jonathan",2020,NYY,R,394,96.9,2364,0.426395939,96.3,2336,0.246192893,NULL,NULL,0,NULL,NULL,0,88.8,1701,0.152284264,83.9,2720,0.175126904,NULL,NULL,0,100
642545,"Barria, Jaime",2020,LAA,R,511,92.1,2312,0.309197652,92.2,2209,0.119373777,NULL,NULL,0,83.9,2237,0.457925636,84.4,1497,0.113502935,NULL,NULL,0,NULL,NULL,0,132
642546,"Hernández, Jonathan",2020,TEX,R,497,97.9,2104,0.002012072,97.7,2231,0.47082495,NULL,NULL,0,89.1,2365,0.398390342,90.9,2364,0.128772636,NULL,NULL,0,NULL,NULL,0,125
642547,"Peralta, Freddy",2020,MIL,R,553,93,2416,0.735353535,NULL,NULL,0,NULL,NULL,0,80.2,2368,0.048484848,NULL,NULL,0,79.5,2365,0.216161616,NULL,NULL,0,125
642558,"Jurado, Ariel",2020,NYM,R,84,92,1949,0.226190476,90.7,1640,0.273809524,NULL,NULL,0,82.4,2215,0.30952381,85.1,1798,0.154761905,77.4,2384,0.035714286,NULL,NULL,0,21
642578,"Rodriguez, Jose",2020,LAA,R,39,91.3,2105,0.58974359,NULL,NULL,0,NULL,NULL,0,83.6,1664,0.179487179,85.3,1496,0.128205128,75.3,2464,0.102564103,NULL,NULL,0,8
642584,"Kilome, Franklyn",2020,NYM,R,229,93.6,2371,0.069868996,94.4,2385,0.467248908,NULL,NULL,0,NULL,NULL,0,85.5,1687,0.183406114,81.6,2195,0.279475983,NULL,NULL,0,58
642701,"Santana, Dennis",2020,LAD,R,284,94.9,2446,0.042253521,94.3,2364,0.341549296,NULL,NULL,0,84.3,2689,0.461267606,86.7,2171,0.154929577,NULL,NULL,0,NULL,NULL,0,73
642770,"Guerra, Javy",2020,SD,R,235,96.7,2224,0.004255319,98.4,2143,0.676595745,NULL,NULL,0,87.8,2522,0.272340426,91.9,1742,0.046808511,NULL,NULL,0,NULL,NULL,0,67
642840,"Harvey, Joe",2020,COL,R,54,95.2,2498,0.518518519,NULL,NULL,0,NULL,NULL,0,87,2661,0.425925926,91.9,2426,0.055555556,NULL,NULL,0,NULL,NULL,0,14
643230,"Brault, Steven",2020,PIT,L,746,92.3,2179,0.388739946,91.2,1983,0.117962466,NULL,NULL,0,83,2386,0.225201072,85,1655,0.242627346,73.9,2318,0.025469169,NULL,NULL,0,178
643256,"Cimber, Adam",2020,CLE,R,177,85.9,2157,0.282485876,85.8,2200,0.225988701,NULL,NULL,0,76.9,2367,0.491525424,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,49
643290,"Dunn, Justin",2020,SEA,R,801,91.2,2240,0.535580524,91.1,2144,0.009987516,NULL,NULL,0,82.9,2355,0.164794007,87.1,1854,0.062421973,79.3,2368,0.22721598,NULL,NULL,0,198
643316,"Fry, Paul",2020,BAL,L,376,92.8,2281,0.531914894,NULL,NULL,0,NULL,NULL,0,84.8,2802,0.457446809,89.6,1863,0.010638298,NULL,NULL,0,NULL,NULL,0,98
